algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
BubbleSortSerial,BubbleSort,SERIAL,1,1000,RANDOM,1,5867469,5.867469,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,RANDOM,1,19215934,19.215934,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,RANDOM,1,15658567,15.658567,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,RANDOM,1,25156377,25.156377,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,RANDOM,1,68371935,68.371935,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,RANDOM,2,1846668,1.846668,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,RANDOM,2,3804459,3.804459,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,RANDOM,2,8252416,8.252416,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,RANDOM,2,39315707,39.315707,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,RANDOM,2,65405487,65.405487,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,RANDOM,3,804603,0.804603,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,RANDOM,3,5803702,5.803702,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,RANDOM,3,11692955,11.692955,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,RANDOM,3,31449409,31.449409,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,RANDOM,3,56387766,56.387766,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,RANDOM,4,720951,0.720951,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,RANDOM,4,4088590,4.088590,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,RANDOM,4,9634390,9.634390,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,RANDOM,4,31643352,31.643352,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,RANDOM,4,92947946,92.947946,true
BubbleSortSerial,BubbleSort,SERIAL,1,1000,RANDOM,5,721168,0.721168,true
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,RANDOM,5,4529037,4.529037,true
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,RANDOM,5,13816319,13.816319,true
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,RANDOM,5,25254827,25.254827,true
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,RANDOM,5,101392048,101.392048,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,RANDOM,1,2393437,2.393437,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,RANDOM,1,10132502,10.132502,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,RANDOM,1,21312614,21.312614,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,RANDOM,1,47086798,47.086798,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,RANDOM,1,178246667,178.246667,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,RANDOM,2,2494809,2.494809,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,RANDOM,2,22148980,22.148980,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,RANDOM,2,18419028,18.419028,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,RANDOM,2,45897552,45.897552,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,RANDOM,2,137336072,137.336072,true
BubbleSortSerial,BubbleSort,SERIAL,1,2000,RANDOM,3,3665024,3.665024,true
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,RANDOM,3,11628067,11.628067,true
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,RANDOM,3,19861982,19.861982,true
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,RANDOM,3,45548875,45.548875,true
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,RANDOM,3,160800066,160.800066,true
