algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms,std_time_ms,samples
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,NEARLY_SORTED,7.099656399999999,1.0183868002818477,5
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,RANDOM,7.4883444,6.6004018769741055,5
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,REVERSED,6.0431214,1.94882187755495,5
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,SORTED,6.8799586,1.7206183837345517,5
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,NEARLY_SORTED,15.025763399999999,6.260919290629956,5
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,RANDOM,12.4031096,5.676957796805373,5
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,REVERSED,15.476244399999999,1.9926024081046119,5
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,SORTED,14.375852600000002,2.4464503379993845,5
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,NEARLY_SORTED,28.1272236,6.6274931560057695,5
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,RANDOM,24.691486,1.411622755494896,5
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,REVERSED,26.5960312,5.588485509442179,5
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,SORTED,30.2042286,10.554647712350766,5
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,NEARLY_SORTED,61.469351200000006,9.555972134139061,5
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,RANDOM,69.3465322,5.317277487835406,5
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,REVERSED,77.0206114,9.232349301213285,5
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,SORTED,53.7358332,3.732601031716316,5
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,NEARLY_SORTED,18.1797148,3.8106249349299257,5
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,RANDOM,11.810929400000001,3.0099901115082255,5
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,REVERSED,17.4095802,4.236787342963262,5
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,SORTED,16.0599362,4.580497035129342,5
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,NEARLY_SORTED,38.715020800000005,7.637816963758214,5
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,RANDOM,20.2347056,1.2907041000366037,5
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,REVERSED,37.786684,5.517257041959212,5
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,SORTED,34.793852,5.4620678939340825,5
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,NEARLY_SORTED,69.0426022,28.458403925813958,5
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,RANDOM,86.9281514,20.227239915705855,5
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,REVERSED,86.5838674,26.39222609557267,5
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,SORTED,70.2139912,20.6786554546431,5
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,NEARLY_SORTED,165.12439179999998,54.39511448347956,5
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,RANDOM,134.1071242,14.721020773914844,5
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,REVERSED,191.9440508,43.61075228040488,5
BubbleSortParallel,BubbleSort,PARALLEL,4,10000,SORTED,122.86031739999999,31.66981270815305,5
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,NEARLY_SORTED,47.0473768,10.16510586527219,5
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,RANDOM,30.5639344,5.830330815733686,5
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,REVERSED,40.1756604,9.17991621738373,5
BubbleSortParallel,BubbleSort,PARALLEL,8,1000,SORTED,41.677580999999996,14.808223329799782,5
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,NEARLY_SORTED,99.96911300000001,9.884186205688483,5
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,RANDOM,53.7546546,17.658677844258023,5
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,REVERSED,81.7323226,18.27326336856549,5
BubbleSortParallel,BubbleSort,PARALLEL,8,2000,SORTED,82.48691260000001,18.101023481922436,5
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,NEARLY_SORTED,220.47516620000002,36.00052600483374,5
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,RANDOM,185.0392926,49.66139154053201,5
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,REVERSED,216.7551042,57.514384849431416,5
BubbleSortParallel,BubbleSort,PARALLEL,8,5000,SORTED,170.2225448,56.707615929634436,5
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,NEARLY_SORTED,430.7912872,90.91936900841971,5
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,RANDOM,382.5309398,59.5097215588984,5
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,REVERSED,561.7242284,123.24767222717438,5
BubbleSortParallel,BubbleSort,PARALLEL,8,10000,SORTED,344.80054920000003,71.96673206624635,5
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,NEARLY_SORTED,110.32628260000001,35.46624417796282,5
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,RANDOM,76.9010364,19.254872410020962,5
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,REVERSED,86.409178,18.621425459570894,5
BubbleSortParallel,BubbleSort,PARALLEL,16,1000,SORTED,90.7241724,25.104160855108425,5
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,NEARLY_SORTED,230.84179679999997,19.286434077570938,5
BubbleSortParallel,BubbleSort,PARALLEL,16,2000,RANDOM,162.69495,15.503148436334522,5
