algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms_parallel,std_time_ms,samples,mean_time_ms_serial,speedup,efficiency
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,NEARLY_SORTED,7.099656399999999,1.0183868002818477,5,0.33073699999999995,0.046584930504524134,0.023292465252262067
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,RANDOM,7.4883444,6.6004018769741055,5,1.9921718,0.2660363484350426,0.1330181742175213
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,REVERSED,6.0431214,1.94882187755495,5,1.3202522,0.21847189765209749,0.10923594882604874
BubbleSortParallel,BubbleSort,PARALLEL,2,1000,SORTED,6.8799586,1.7206183837345517,5,0.0027188,0.000395176796558049,0.0001975883982790245
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,NEARLY_SORTED,15.025763399999999,6.260919290629956,5,1.3581686,0.09038932424558209,0.045194662122791045
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,RANDOM,12.4031096,5.676957796805373,5,2.6231762,0.2114934306474241,0.10574671532371205
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,REVERSED,15.476244399999999,1.9926024081046119,5,4.3311432,0.2798575085826378,0.1399287542913189
BubbleSortParallel,BubbleSort,PARALLEL,2,2000,SORTED,14.375852600000002,2.4464503379993845,5,0.0032244,0.00022429278385895524,0.00011214639192947762
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,NEARLY_SORTED,28.1272236,6.6274931560057695,5,7.995827,0.28427359606157504,0.14213679803078752
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,RANDOM,24.691486,1.411622755494896,5,25.2673086,1.0233206944288407,0.5116603472144203
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,REVERSED,26.5960312,5.588485509442179,5,20.5409648,0.7723319560551577,0.38616597802757885
BubbleSortParallel,BubbleSort,PARALLEL,2,5000,SORTED,30.2042286,10.554647712350766,5,0.0051986,0.00017211497333191288,8.605748666595644e-05
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,NEARLY_SORTED,61.469351200000006,9.555972134139061,5,23.7637472,0.38659505487020657,0.19329752743510328
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,RANDOM,69.3465322,5.317277487835406,5,102.3167504,1.4754414842967447,0.7377207421483724
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,REVERSED,77.0206114,9.232349301213285,5,76.83691400000001,0.9976149579098251,0.49880747895491256
BubbleSortParallel,BubbleSort,PARALLEL,2,10000,SORTED,53.7358332,3.732601031716316,5,0.0051856,9.650171386939619e-05,4.8250856934698095e-05
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,NEARLY_SORTED,18.1797148,3.8106249349299257,5,0.33073699999999995,0.018192639633708662,0.0045481599084271655
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,RANDOM,11.810929400000001,3.0099901115082255,5,1.9921718,0.16867189130772384,0.04216797282693096
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,REVERSED,17.4095802,4.236787342963262,5,1.3202522,0.07583480961821239,0.018958702404553097
BubbleSortParallel,BubbleSort,PARALLEL,4,1000,SORTED,16.0599362,4.580497035129342,5,0.0027188,0.00016929083441813425,4.232270860453356e-05
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,NEARLY_SORTED,38.715020800000005,7.637816963758214,5,1.3581686,0.03508117965417701,0.008770294913544252
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,RANDOM,20.2347056,1.2907041000366037,5,2.6231762,0.12963747789836882,0.032409369474592206
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,REVERSED,37.786684,5.517257041959212,5,4.3311432,0.11462088602429363,0.028655221506073407
BubbleSortParallel,BubbleSort,PARALLEL,4,2000,SORTED,34.793852,5.4620678939340825,5,0.0032244,9.267154438663474e-05,2.3167886096658684e-05
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,NEARLY_SORTED,69.0426022,28.458403925813958,5,7.995827,0.11581004691622124,0.02895251172905531
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,RANDOM,86.9281514,20.227239915705855,5,25.2673086,0.290668882209774,0.0726672205524435
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,REVERSED,86.5838674,26.39222609557267,5,20.5409648,0.23723778362896275,0.05930944590724069
BubbleSortParallel,BubbleSort,PARALLEL,4,5000,SORTED,70.2139912,20.6786554546431,5,0.0051986,7.403937464816842e-05,1.8509843662042105e-05
